카드 제목,속성,레벨,종족,atk,def
파란 눈의 무녀,빛,레벨 1,[마법사족/튜너/효과],공격력 0,수비력 0
파란 눈의 소녀,빛,레벨 1,[마법사족/튜너/효과],공격력 0,수비력 0
파란 눈의 제사,빛,레벨 1,[마법사족/튜너/효과],공격력 300,수비력 1200
파란 눈의 현사,빛,레벨 1,[마법사족/튜너/효과],공격력 0,수비력 1500
파란 눈의 호인,빛,레벨 1,[마법사족/튜너/효과],공격력 800,수비력 1300
파리나이츠,땅,레벨 6,[전사족/효과],공격력 2300,수비력 2100
파마의 까마귀 탱구,땅,레벨 4,[언데드족/효과],공격력 1400,수비력 1200
파면룡,화염,레벨 3,[환룡족/효과],공격력 1400,수비력 1100
파멸룡 간드라X,어둠,레벨 8,[드래곤족/효과],공격력 0,수비력 0
파멸의 마왕 가란돌프,어둠,레벨 7,[악마족/의식/효과],공격력 2500,수비력 1400
파멸의 미의 신 루인,빛,레벨 10,[천사족/의식/효과],공격력 2900,수비력 3000
파멸의 여신 루인,빛,레벨 8,[천사족/의식/효과],공격력 2300,수비력 2000
파멸의 천사 루인,빛,레벨 4,[천사족/의식/효과],공격력 1700,수비력 1000
파수병 골렘,땅,레벨 4,[암석족/효과],공격력 800,수비력 1800
파슬 다이너 파키세팔로,땅,레벨 4,[암석족/효과],공격력 1200,수비력 1300
파워 브레이커,땅,레벨 4,[전사족/효과],공격력 1900,수비력 0
파워 서플라이어,땅,레벨 2,[마법사족/효과],공격력 400,수비력 400
파워 인베이더,어둠,레벨 5,[악마족/효과],공격력 2200,수비력 0
파워 인젝터,땅,레벨 4,[사이킥족/효과],공격력 1300,수비력 1400
파워 자이언트,땅,레벨 6,[암석족/효과],공격력 2200,수비력 0
파워드 크로울러,땅,레벨 7,[기계족/효과],공격력 2700,수비력 2000
파워드 튜너,물,레벨 4,[드래곤족/효과],공격력 1400,수비력 1000
파이널 사이코 오우거,땅,레벨 5,[사이킥족/효과],공격력 2200,수비력 1700
파이레이츠,물,레벨 4,[물족/효과],공격력 1500,수비력 500
파이버 포드,땅,레벨 3,[식물족/리버스/효과],공격력 500,수비력 500
파이어 크라켄,화염,레벨 4,[물족/일반],공격력 1600,수비력 1500
파이어 트루퍼,화염,레벨 3,[전사족/효과],공격력 1000,수비력 1000
파이어 핸드,화염,레벨 4,[화염족/효과],공격력 1600,수비력 1000
파이어오팔헤드,화염,레벨 6,[공룡족/펜듈럼/일반],공격력 2500,수비력 1000
파이어월 가디언,어둠,레벨 4,[사이버스족/효과],공격력 100,수비력 2000
파이어월 디펜서,어둠,레벨 4,[사이버스족/효과],공격력 1200,수비력 1500
파이어월 팬텀,어둠,레벨 5,[사이버스족/효과],공격력 2000,수비력 1300
파이어크래커,화염,레벨 4,[악마족/효과],공격력 1700,수비력 200
파일 암드 드래곤,바람,레벨 7,[드래곤족/효과],공격력 2800,수비력 1000
판도라의 보구함,어둠,레벨 4,[환룡족/펜듈럼/효과],공격력 1500,수비력 1500
팔시온β,빛,레벨 4,[기계족/효과],공격력 1200,수비력 800
패러렐엑시드,바람,레벨 8,[사이버스족/효과],공격력 2000,수비력 2000
패러사이트 퓨저너,어둠,레벨 1,[곤충족/효과],공격력 0,수비력 0
패밀리어 나이트,어둠,레벨 3,[전사족/효과],공격력 1200,수비력 1400
패사대공 골곤다,화염,레벨 8,[파충류족/효과],공격력 ?,수비력 0
패왕권룡 다크브룸,어둠,레벨 4,[드래곤족/펜듈럼/효과],공격력 1800,수비력 1200
패왕권룡 오드아이즈,어둠,레벨 8,[드래곤족/펜듈럼/효과],공격력 2500,수비력 2000
패왕문 인피니티,어둠,레벨 7,[악마족/펜듈럼/효과],공격력 0,수비력 0
패왕문 제로,어둠,레벨 7,[악마족/펜듈럼/효과],공격력 0,수비력 0
패치워크 퍼니멀,땅,레벨 1,[천사족/효과],공격력 0,수비력 0
패트로이드,땅,레벨 4,[기계족/효과],공격력 1200,수비력 1200
패트롤 로보,땅,레벨 3,[기계족/효과],공격력 1100,수비력 900
팬더믹 드래곤,어둠,레벨 7,[드래곤족/효과],공격력 2500,수비력 1000
팬더보그,물,레벨 4,[사이킥족/효과],공격력 1700,수비력 1400
팬서 샤크,물,레벨 5,[어류족/효과],공격력 1100,수비력 2000
팬텀 나이츠 더스티로브,어둠,레벨 3,[전사족/효과],공격력 800,수비력 1000
팬텀 나이츠 래기드글로브,어둠,레벨 3,[전사족/효과],공격력 1000,수비력 500
팬텀 나이츠 사일런트부츠,어둠,레벨 3,[전사족/효과],공격력 200,수비력 1200
팬텀 나이츠 스텐드그리브,어둠,레벨 3,[전사족/효과],공격력 1200,수비력 600
팬텀 나이츠 크랙헬름,어둠,레벨 4,[전사족/효과],공격력 1500,수비력 500
팬텀 나이츠 티어스케일,어둠,레벨 3,[전사족/효과],공격력 600,수비력 1600
팬텀 나이츠 프래자일아머,어둠,레벨 4,[전사족/효과],공격력 1000,수비력 2000
팬텀 드래곤,빛,레벨 8,[드래곤족/효과],공격력 2300,수비력 2200
팬텀 드래곤 레이 브론트,물,레벨 4,[어류족/듀얼/효과],공격력 1500,수비력 1000
팬텀 바운서,어둠,레벨 6,[전사족/효과],공격력 2400,수비력 1200
팬텀 오브 카오스,어둠,레벨 4,[악마족/효과],공격력 0,수비력 0
퍼니멀 도그,땅,레벨 4,[천사족/효과],공격력 1700,수비력 1000
퍼니멀 돌핀,물,레벨 4,[천사족/효과],공격력 1600,수비력 1000
퍼니멀 라이오,땅,레벨 4,[천사족/효과],공격력 1600,수비력 1200
퍼니멀 래빗,땅,레벨 1,[천사족/효과],공격력 300,수비력 1200
퍼니멀 마우스,땅,레벨 1,[천사족/효과],공격력 100,수비력 100
퍼니멀 베어,땅,레벨 3,[천사족/효과],공격력 1200,수비력 800
퍼니멀 시프,땅,레벨 2,[천사족/효과],공격력 400,수비력 800
퍼니멀 엔젤,빛,레벨 2,[천사족/펜듈럼/효과],공격력 600,수비력 1200
퍼니멀 오울,땅,레벨 2,[천사족/효과],공격력 1000,수비력 1000
퍼니멀 옥토,물,레벨 1,[천사족/효과],공격력 800,수비력 800
퍼니멀 윙,빛,레벨 1,[천사족/효과],공격력 100,수비력 100
퍼니멀 캣,땅,레벨 1,[천사족/효과],공격력 700,수비력 300
퍼니멀 펭귄,물,레벨 4,[천사족/효과],공격력 1600,수비력 1100
퍼니시먼트 드래곤,어둠,레벨 8,[드래곤족/특수 소환/효과],공격력 3000,수비력 2600
퍼즈즐,어둠,레벨 1,[악마족/펜듈럼/효과],공격력 500,수비력 500
퍼펙트 기계왕,땅,레벨 8,[기계족/효과],공격력 2700,수비력 1500
퍼펙트 디클레어러,빛,레벨 6,[천사족/의식/효과],공격력 1800,수비력 2800
퍼핏 룩,땅,레벨 4,[전사족/효과],공격력 1200,수비력 1800
퍼핏 퀸,땅,레벨 6,[전사족/효과],공격력 2200,수비력 2500
퍼핏 킹,땅,레벨 7,[전사족/효과],공격력 2800,수비력 2600
퍼핏 폰,땅,레벨 3,[전사족/효과],공격력 800,수비력 1200
퍼핏 플랜트,땅,레벨 3,[식물족/효과],공격력 1000,수비력 1000
페니키시안 시드,화염,레벨 2,[식물족/효과],공격력 800,수비력 0
페니키시안 클러스터 아마릴리스,화염,레벨 8,[식물족/효과],공격력 2200,수비력 0
페더라이저,바람,레벨 2,[마법사족/효과],공격력 700,수비력 1100
페로페로케로페로스,땅,레벨 3,[야수족/효과],공격력 0,수비력 1800
페어리 아처,빛,레벨 3,[천사족/효과],공격력 1400,수비력 600
페어리테일－라치카,빛,레벨 4,[마법사족/효과],공격력 1850,수비력 1000
페어리테일－백설,빛,레벨 4,[마법사족/효과],공격력 1850,수비력 1000
페어리테일－신데렐라,빛,레벨 4,[마법사족/효과],공격력 1850,수비력 1000
페어리테일－카구야,빛,레벨 4,[마법사족/효과],공격력 1850,수비력 1000
페어리테일－타리아,빛,레벨 4,[마법사족/리버스/효과],공격력 1850,수비력 1000
페인페인터,어둠,레벨 2,[언데드족/튜너/효과],공격력 400,수비력 200
펜듈럼라문,빛,레벨 1,[마법사족/펜듈럼/효과],공격력 200,수비력 700
펜듈럼무쵸,땅,레벨 1,[비행야수족/펜듈럼/효과],공격력 0,수비력 0
펜리르,물,레벨 4,[야수족/특수 소환/효과],공격력 1400,수비력 1200
펠그란트 드래곤,빛,레벨 8,[드래곤족/효과],공격력 2800,수비력 2800
펭귄 기사,물,레벨 3,[물족/효과],공격력 900,수비력 800
펭귄 나이트메어,물,레벨 4,[물족/효과],공격력 900,수비력 1800
펭귄 솔저,물,레벨 2,[물족/리버스/효과],공격력 750,수비력 500
펭귄 승려,물,레벨 3,[물족/효과],공격력 600,수비력 1700
펭귄 어뢰,물,레벨 3,[물족/효과],공격력 550,수비력 300
펭귄 용자,물,레벨 5,[물족/튜너/효과],공격력 1800,수비력 600
펭귄 첩자,물,레벨 3,[물족/리버스/효과],공격력 1400,수비력 700
평온한 현자,빛,레벨 4,[마법사족/효과],공격력 1400,수비력 1000
포격의 중강갑 거북,물,레벨 4,[물족/효과],공격력 1000,수비력 2000
포맷 스킵퍼,빛,레벨 1,[사이버스족/효과],공격력 0,수비력 0
포세이돈 왕투구,땅,레벨 7,[곤충족/효과],공격력 2500,수비력 2300
포스 레조네이터,물,레벨 2,[악마족/튜너/효과],공격력 500,수비력 500
포이즌 미라,땅,레벨 4,[언데드족/리버스/효과],공격력 1000,수비력 1800
포츈 레이디 다르키,어둠,레벨 5,[마법사족/효과],공격력 ?,수비력 ?
포츈 레이디 라이티,빛,레벨 1,[마법사족/효과],공격력 ?,수비력 ?
포츈 레이디 어시,땅,레벨 6,[마법사족/효과],공격력 ?,수비력 ?
포츈 레이디 워테리,물,레벨 4,[마법사족/효과],공격력 ?,수비력 ?
포츈 레이디 윈디,바람,레벨 3,[마법사족/효과],공격력 ?,수비력 ?
포츈 레이디 파이리,화염,레벨 2,[마법사족/효과],공격력 ?,수비력 ?
포츈 레이디 패스티,어둠,레벨 1,[마법사족/튜너/효과],공격력 ?,수비력 ?
포츈 채리어트,바람,레벨 6,[천사족/유니온/효과],공격력 1000,수비력 2000
포키 드라코,화염,레벨 3,[드래곤족/효과],공격력 200,수비력 100
포탄 창조개,물,레벨 2,[물족/효과],공격력 1000,수비력 1000
포톤 레오,빛,레벨 6,[야수족/효과],공격력 2100,수비력 1100
포톤 리저드,빛,레벨 3,[드래곤족/효과],공격력 900,수비력 1200
포톤 버니셔,빛,레벨 4,[전사족/특수 소환/효과],공격력 2000,수비력 0
포톤 사벨타이거,빛,레벨 3,[야수족/효과],공격력 2000,수비력 300
포톤 새털라이트,빛,레벨 1,[기계족/효과],공격력 0,수비력 0
포톤 서클러,빛,레벨 4,[마법사족/효과],공격력 1000,수비력 1000
포톤 스래셔,빛,레벨 4,[전사족/특수 소환/효과],공격력 2100,수비력 0
포톤 슬레이어,빛,레벨 5,[전사족/효과],공격력 2100,수비력 1000
포톤 어드밴서,빛,레벨 4,[전사족/효과],공격력 1000,수비력 1000
포톤 엠페러,빛,레벨 8,[전사족/효과],공격력 2800,수비력 1000
포톤 오비탈,빛,레벨 4,[기계족/효과],공격력 500,수비력 2000
포톤 와이반,빛,레벨 7,[드래곤족/효과],공격력 2500,수비력 2000
포톤 점퍼,빛,레벨 4,[전사족/효과],공격력 0,수비력 0
포톤 차지맨,빛,레벨 4,[전사족/효과],공격력 1000,수비력 1000
포톤 카이저,빛,레벨 8,[전사족/효과],공격력 2000,수비력 2800
포톤 케로베로스,빛,레벨 3,[야수족/효과],공격력 1300,수비력 600
포톤 크러셔,빛,레벨 4,[전사족/효과],공격력 2000,수비력 0
포톤 파이레츠,빛,레벨 3,[기계족/효과],공격력 1000,수비력 1000
포효의 제너레이드 하르,어둠,레벨 9,[마법사족/효과],공격력 3000,수비력 3000
폭염집합체 가이아 소울,화염,레벨 4,[화염족/효과],공격력 2000,수비력 0
폭정룡－타이달,물,레벨 7,[드래곤족/효과],공격력 2600,수비력 2000
폭주궤도 플라잉 페가수스,땅,레벨 4,[기계족/효과],공격력 1800,수비력 1000
폭주특급 로켓 애로우,땅,레벨 10,[기계족/특수 소환/효과],공격력 5000,수비력 0
폭탄 드래곤,땅,레벨 3,[드래곤족/효과],공격력 1000,수비력 0
폭탄 벌레,바람,레벨 2,[곤충족/리버스/효과],공격력 400,수비력 900
폭풍 도마뱀,물,레벨 4,[파충류족/리버스/효과],공격력 1400,수비력 700
폭풍 소승,바람,레벨 4,[천사족/효과],공격력 1500,수비력 1600
폭풍룡의 변방지기,빛,레벨 1,[드래곤족/튜너/효과],공격력 500,수비력 200
푸딩대,물,레벨 1,[악마족/효과],공격력 300,수비력 300
푸른 눈의 백룡,빛,레벨 8,[드래곤족/일반],공격력 3000,수비력 2500
푸른 눈의 빛룡,빛,레벨 10,[드래곤족/특수 소환/효과],공격력 3000,수비력 2500
푸른 눈의 솔리드 드래곤,빛,레벨 8,[드래곤족/효과],공격력 2500,수비력 2000
푸른 눈의 아백룡,빛,레벨 8,[드래곤족/특수 소환/효과],공격력 3000,수비력 2500
푸른 눈의 제트 드래곤,빛,레벨 8,[드래곤족/효과],공격력 3000,수비력 0
푸른 눈의 카오스 MAX 드래곤,어둠,레벨 8,[드래곤족/의식/효과],공격력 4000,수비력 0
푸른 눈의 카오스 드래곤,어둠,레벨 8,[드래곤족/의식/효과],공격력 3000,수비력 0
푸른 눈의 툰 드래곤,빛,레벨 8,[드래곤족/특수 소환/툰/효과],공격력 3000,수비력 2500
푸른 얼음의 백야룡,물,레벨 8,[드래곤족/효과],공격력 3000,수비력 2500
푸른 첩자,땅,레벨 1,[전사족/리버스/효과],공격력 300,수비력 300
푸른 화염의 검사,화염,레벨 4,[전사족/효과],공격력 1800,수비력 1600
푸티카의 충혹마,땅,레벨 4,[식물족/효과],공격력 900,수비력 1900
풀 엘프,바람,레벨 2,[마법사족/효과],공격력 800,수비력 1300
풀액티브 듀플렉스,바람,레벨 9,[사이버스족/효과],공격력 2800,수비력 1000
풍 마신－휴가,바람,레벨 7,[마법사족/효과],공격력 2400,수비력 2200
풍래왕 와일드 와인드,어둠,레벨 4,[악마족/효과],공격력 1700,수비력 1300
풍령매사 윈,바람,레벨 5,[마법사족/효과],공격력 1850,수비력 1500
풍령사 윈,바람,레벨 3,[마법사족/리버스/효과],공격력 500,수비력 1500
풍령신 윈드로즈,바람,레벨 8,[비행야수족/특수 소환/효과],공격력 2800,수비력 2200
풍룡성－호로우,바람,레벨 1,[환룡족/효과],공격력 0,수비력 1800
풍류 깨구리,물,레벨 2,[물족/효과],공격력 100,수비력 2000
풍양의 아르테미스,빛,레벨 4,[천사족/효과],공격력 1600,수비력 1700
풍정룡－라이트닝,바람,레벨 3,[드래곤족/효과],공격력 500,수비력 1800
퓨먼,땅,레벨 6,[야수전사족/특수 소환/효과],공격력 1500,수비력 1000
퓨어리,빛,레벨 1,[천사족/효과],공격력 100,수비력 100
퓨어리 리리,어둠,레벨 1,[천사족/효과],공격력 100,수비력 100
퓨저니스트 킬러,어둠,레벨 4,[악마족/효과],공격력 1400,수비력 1200
프랑켄,어둠,레벨 2,[언데드족/효과],공격력 1000,수비력 1000
프랭키즈 드롭,물,레벨 2,[물족/효과],공격력 1000,수비력 1000
프랭키즈 램프,화염,레벨 3,[화염족/효과],공격력 1500,수비력 500
프랭키즈 록,땅,레벨 4,[암석족/효과],공격력 1500,수비력 1500
프랭키즈 펄스,바람,레벨 1,[번개족/효과],공격력 0,수비력 2000
프레데터 플랜츠 달링 코브라,어둠,레벨 3,[식물족/효과],공격력 1000,수비력 1500
프레데터 플랜츠 드로소필룸 히드라,어둠,레벨 5,[식물족/효과],공격력 800,수비력 2300
프레데터 플랜츠 모레이 네펜테스,어둠,레벨 4,[식물족/효과],공격력 1600,수비력 1000
프레데터 플랜츠 뱅크셔오우거,어둠,레벨 6,[식물족/튜너/효과],공격력 2000,수비력 100
프레데터 플랜츠 부포리큘라,어둠,레벨 1,[식물족/펜듈럼/효과],공격력 0,수비력 0
프레데터 플랜츠 비브리스프,어둠,레벨 1,[식물족/효과],공격력 0,수비력 1900
프레데터 플랜츠 세라세니앤트,어둠,레벨 1,[식물족/효과],공격력 100,수비력 600
프레데터 플랜츠 스키드 드로세라,어둠,레벨 2,[식물족/효과],공격력 800,수비력 400
프레데터 플랜츠 스파이더 오키드,어둠,레벨 1,[식물족/펜듈럼/효과],공격력 0,수비력 0
프레데터 플랜츠 스피노 디오네아,어둠,레벨 4,[식물족/효과],공격력 1800,수비력 0
프레데터 플랜츠 썬듀 킨지,어둠,레벨 2,[식물족/효과],공격력 600,수비력 200
프레데터 플랜츠 오프리스 스콜피오,어둠,레벨 3,[식물족/효과],공격력 1200,수비력 800
프레데터 플랜츠 코디셉스,어둠,레벨 1,[식물족/효과],공격력 0,수비력 0
프레데터 플랜츠 트리안티스,어둠,레벨 8,[식물족/펜듈럼/효과],공격력 2400,수비력 1000
프레데터 플랜츠 프테로펜테스,어둠,레벨 3,[식물족/효과],공격력 300,수비력 2100
프레데터 플랜츠 플라이 헬,어둠,레벨 2,[식물족/효과],공격력 400,수비력 800
프레데터 플랜츠 헬리암포링쿠스,어둠,레벨 8,[식물족/효과],공격력 1200,수비력 2400
프레임 댄서,화염,레벨 2,[화염족/일반],공격력 550,수비력 450
프레임 버디 에카,화염,레벨 4,[전사족/효과],공격력 1500,수비력 200
프레임 버팔로,화염,레벨 3,[사이버스족/효과],공격력 1400,수비력 200
프레임 오우거,화염,레벨 7,[악마족/효과],공격력 2400,수비력 1700
프레임 타이거,화염,레벨 4,[야수족/효과],공격력 1800,수비력 0
프레임기어－자룡,화염,레벨 8,[화염족/효과],공격력 2900,수비력 1800
프레잉 맨티스,바람,레벨 4,[곤충족/효과],공격력 1500,수비력 1200
프렌도그,땅,레벨 3,[기계족/효과],공격력 800,수비력 1200
프로미넌스 드래곤,화염,레벨 4,[화염족/효과],공격력 1500,수비력 1000
프로미넌스 핸드,화염,레벨 4,[화염족/효과],공격력 600,수비력 2000
프로스트사우루스,물,레벨 6,[공룡족/일반],공격력 2600,수비력 1700
프로토 사이버 드래곤,빛,레벨 3,[기계족/효과],공격력 1100,수비력 600
프로트론,땅,레벨 1,[사이버스족/일반],공격력 100,수비력 100
프로파 간다케,땅,레벨 3,[사이킥족/효과],공격력 500,수비력 2000
프로히빗 스네이크,빛,레벨 2,[사이버스족/효과],공격력 500,수비력 1000
프록시 호스,빛,레벨 4,[사이버스족/효과],공격력 1100,수비력 1100
프론트 옵저버,땅,레벨 4,[기계족/효과],공격력 1000,수비력 1500
프롬프트혼,어둠,레벨 1,[사이버스족/효과],공격력 200,수비력 400
프루프 프루플라스,어둠,레벨 3,[악마족/효과],공격력 100,수비력 100
프리미티브 버터플라이,바람,레벨 5,[곤충족/효과],공격력 1200,수비력 900
프리벤토마토,땅,레벨 2,[식물족/효과],공격력 800,수비력 800
프리스티스 옴,어둠,레벨 4,[마법사족/효과],공격력 1700,수비력 1600
프리즌 퀸 데몬,어둠,레벨 8,[악마족/효과],공격력 2600,수비력 1700
프린세스 인어,물,레벨 4,[어류족/효과],공격력 1500,수비력 800
프린트 크래거,땅,레벨 3,[암석족/효과],공격력 800,수비력 1600
플라봇,땅,레벨 3,[식물족/효과],공격력 1500,수비력 800
플라워다이노,땅,레벨 4,[공룡족/특수 소환/효과],공격력 2000,수비력 0
플라이 팽,바람,레벨 3,[어류족/효과],공격력 1600,수비력 300
플라잉 사마귀,바람,레벨 4,[곤충족/일반],공격력 1500,수비력 800
플라잉 피시,바람,레벨 4,[어류족/일반],공격력 800,수비력 500
플라잉어,물,레벨 4,[어류족/효과],공격력 500,수비력 500
플라즈마 볼,빛,레벨 3,[번개족/효과],공격력 900,수비력 900
플래닛 패스파인더,땅,레벨 4,[기계족/효과],공격력 1000,수비력 1000
플런드롤－검은날개 수선인,물,레벨 4,[악마족/효과],공격력 1000,수비력 1000
플런드롤－금발 훈련생,물,레벨 4,[악마족/튜너/효과],공격력 0,수비력 2000
플런드롤－빨간수염 항해사,물,레벨 4,[악마족/효과],공격력 1000,수비력 1000
플런드롤－파란수염 해기사,물,레벨 4,[악마족/효과],공격력 500,수비력 1000
플런드롤－흰수염 기관사,물,레벨 4,[악마족/튜너/효과],공격력 1500,수비력 1000
플레어 레조네이터,화염,레벨 3,[악마족/튜너/효과],공격력 300,수비력 1300
플레이트 크래셔,땅,레벨 3,[암석족/효과],공격력 1400,수비력 300
플레임벨 그르니카,화염,레벨 4,[드래곤족/효과],공격력 1700,수비력 200
플레임벨 데블,화염,레벨 5,[악마족/효과],공격력 2100,수비력 1200
플레임벨 데스거너,화염,레벨 6,[화염족/효과],공격력 2200,수비력 200
플레임벨 드래그노브,화염,레벨 2,[드래곤족/효과],공격력 1100,수비력 200
플레임벨 매지컬,화염,레벨 4,[마법사족/튜너/효과],공격력 1400,수비력 200
플레임벨 베이비,화염,레벨 1,[화염족/튜너/효과],공격력 800,수비력 200
플레임벨 아처,화염,레벨 3,[화염족/튜너/효과],공격력 1000,수비력 200
플레임벨 파운,화염,레벨 1,[화염족/효과],공격력 200,수비력 200
플레임벨 헬도그,화염,레벨 4,[야수족/효과],공격력 1900,수비력 200
플뢰르 싱크론,빛,레벨 2,[기계족/튜너/효과],공격력 400,수비력 200
플릭 크라운,어둠,레벨 4,[사이버스족/효과],공격력 1000,수비력 1400
플린트 록,빛,레벨 4,[기계족/효과],공격력 1500,수비력 800
플립 프로즌,물,레벨 1,[사이버스족/효과],공격력 500,수비력 500
피눈물의 오우거,어둠,레벨 4,[악마족/효과],공격력 0,수비력 0
피닉스 기어프리드,화염,레벨 8,[전사족/듀얼/효과],공격력 2800,수비력 2200
피라미드 터틀,땅,레벨 4,[언데드족/효과],공격력 1200,수비력 1400
피뢰신,빛,레벨 4,[번개족/효과],공격력 1800,수비력 100
피스리아,빛,레벨 4,[암석족/효과],공격력 700,수비력 2000
피시보그 거너,물,레벨 1,[어류족/튜너/효과],공격력 100,수비력 200
피시보그 닥터,물,레벨 4,[어류족/효과],공격력 400,수비력 400
피시보그 플랜터,물,레벨 2,[어류족/효과],공격력 200,수비력 200
피시보그－런처,물,레벨 1,[어류족/튜너/효과],공격력 200,수비력 100
피시보그－아처,물,레벨 3,[어류족/튜너/효과],공격력 300,수비력 300
피안의 귀신 헬레이카,어둠,레벨 6,[악마족/의식/효과],공격력 2700,수비력 2200
피안의 악귀 가토르호그,어둠,레벨 3,[악마족/효과],공격력 1600,수비력 1200
피안의 악귀 그래바스니치,어둠,레벨 3,[악마족/효과],공격력 1000,수비력 1500
피안의 악귀 드라고넬,어둠,레벨 3,[악마족/효과],공격력 1100,수비력 900
피안의 악귀 라비캔트,어둠,레벨 3,[악마족/튜너/효과],공격력 100,수비력 2100
피안의 악귀 리비옷코,어둠,레벨 3,[악마족/효과],공격력 1300,수비력 700
피안의 악귀 바르바릿챠,어둠,레벨 3,[악마족/효과],공격력 1700,수비력 1000
피안의 악귀 스칼라마리온,어둠,레벨 3,[악마족/효과],공격력 800,수비력 2000
피안의 악귀 아리키노,어둠,레벨 3,[악마족/효과],공격력 1200,수비력 0
피안의 악귀 퍼파렐,어둠,레벨 3,[악마족/효과],공격력 1000,수비력 1900
피안의 악귀 하로우하운드,어둠,레벨 3,[악마족/효과],공격력 1500,수비력 300
피안의 악귀 하클스파,어둠,레벨 3,[악마족/효과],공격력 1400,수비력 0
피카리＠이그니스터,빛,레벨 4,[사이버스족/효과],공격력 1200,수비력 600
피험체 뮤트리아 GB－88,물,레벨 4,[사이킥족/효과],공격력 500,수비력 500
피험체 뮤트리아 M－05,물,레벨 2,[사이킥족/효과],공격력 0,수비력 500
피험체 뮤트리아 ST－46,물,레벨 3,[사이킥족/효과],공격력 500,수비력 0
픽시 가디언,바람,레벨 3,[천사족/효과],공격력 1000,수비력 1000
픽시 나이트,빛,레벨 2,[마법사족/효과],공격력 1300,수비력 200
하나 미즈키,물,레벨 3,[언데드족/튜너/효과],공격력 0,수비력 1800
하나된 마음의 용,빛,레벨 1,[드래곤족/튜너/효과],공격력 0,수비력 0
하늘의 곤충병,바람,레벨 3,[곤충족/효과],공격력 1000,수비력 800
하늘의 첩자－토바리,땅,레벨 1,[비행야수족/효과],공격력 0,수비력 0
하늘하늘,땅,레벨 2,[야수족/리버스/효과],공격력 450,수비력 500
하데 하네,땅,레벨 5,[야수족/리버스/효과],공격력 900,수비력 1000
하데스의 마법,어둠,레벨 2,[악마족/효과],공격력 700,수비력 700
하드맨,바람,레벨 4,[비행야수족/일반],공격력 1800,수비력 600
하드암 드래곤,땅,레벨 4,[드래곤족/효과],공격력 1500,수비력 800
하루 우라라,화염,레벨 3,[언데드족/튜너/효과],공격력 0,수비력 1800
하백,물,레벨 4,[물족/스피릿/효과],공격력 1800,수비력 600
하얀 영룡,빛,레벨 8,[드래곤족/효과],공격력 2500,수비력 2000
하얀 첩자,빛,레벨 4,[전사족/리버스/효과],공격력 1500,수비력 800
하우스 더스튼,빛,레벨 1,[악마족/효과],공격력 0,수비력 1000
하운드 드래곤,어둠,레벨 3,[드래곤족/일반],공격력 1700,수비력 100
하울링 워리어,땅,레벨 3,[전사족/효과],공격력 800,수비력 700
하이 큐피트,빛,레벨 1,[천사족/효과],공격력 600,수비력 600
하이 프리스티스,빛,레벨 3,[마법사족/일반],공격력 1100,수비력 800
하이드랜더 오빗,어둠,레벨 1,[기계족/효과],공격력 0,수비력 1500
하이드로게돈,물,레벨 4,[공룡족/효과],공격력 1600,수비력 1000
하이버네이션 드래곤,어둠,레벨 3,[드래곤족/효과],공격력 600,수비력 1500
하이에나,땅,레벨 3,[야수족/효과],공격력 1000,수비력 300
하이퍼 사이코거너/버스터,땅,레벨 11,[사이킥족/특수 소환/효과],공격력 3500,수비력 3000
하이퍼 싱크론,빛,레벨 4,[기계족/튜너/효과],공격력 1600,수비력 800
하이퍼 해머헤드,땅,레벨 4,[공룡족/효과],공격력 1500,수비력 1200
하작의 마신,화염,레벨 8,[야수전사족/효과],공격력 2600,수비력 2200
하치비,바람,레벨 1,[곤충족/효과],공격력 500,수비력 400
하프의 정령,빛,레벨 4,[천사족/일반],공격력 800,수비력 2000
한계룡 슈발츠실트,어둠,레벨 8,[드래곤족/효과],공격력 2000,수비력 0
한니발 네크로맨서,어둠,레벨 4,[마법사족/효과],공격력 1400,수비력 1800
할로할로,어둠,레벨 3,[악마족/펜듈럼/튜너/일반],공격력 800,수비력 600
함정 처리반 A팀,화염,레벨 2,[기계족/효과],공격력 300,수비력 400
함정술사,땅,레벨 3,[전사족/리버스/효과],공격력 500,수비력 1100
합성마수 가젯트,어둠,레벨 7,[악마족/효과],공격력 ?,수비력 0
합체룡 티마이오스,빛,레벨 8,[드래곤족/효과],공격력 2800,수비력 1800
핫샤신 드래그마,빛,레벨 8,[마법사족/효과],공격력 2000,수비력 1500
항아리 마신,땅,레벨 3,[암석족/효과],공격력 1200,수비력 1300
항아리 마인,화염,레벨 3,[화염족/리버스/효과],공격력 200,수비력 1800
해골 무당벌레,땅,레벨 4,[곤충족/효과],공격력 500,수비력 1500
해골견 마론,땅,레벨 4,[야수족/일반],공격력 1350,수비력 2000
해귀파괴수 가메시엘,물,레벨 8,[물족/효과],공격력 2200,수비력 3000
해룡신－네오다이달로스,물,레벨 8,[해룡족/특수 소환/효과],공격력 2900,수비력 1600
해룡신－리바이어던,물,레벨 5,[해룡족/효과],공격력 2000,수비력 1700
해룡－다이달로스,물,레벨 7,[해룡족/효과],공격력 2600,수비력 1500
해머 샤크,물,레벨 4,[어류족/효과],공격력 1700,수비력 1500
해머러시 바운서,땅,레벨 6,[전사족/효과],공격력 2300,수비력 2000
해바라기 공주 마리너,화염,레벨 8,[식물족/효과],공격력 2800,수비력 1600
